item_type,date_uploaded,source_file,item_id,title,creation_date,source_url,resource_type,language,rights_advisory,rights_info,description,creators,loc_subjects,location,image_url
Item,2024-12-16,./collection-2/item_metadata\im_cph.3b48718.json,98507272,Illinois: A descriptive and historical guide / galic.,[between 1936 and 1940],https://www.loc.gov/item/98507272/,still image,eng,No known restrictions on publication.,No known restrictions on publication.,"Poster for Federal Writers' Project advertising ""American Guide Series"" volume on Illinois, showing outline of map of the state.","[""Federal Writers' Project, sponsor""]","['American guide series', 'Tourism--Illinois--1930-1940', 'Books--1930-1940', 'Illinois--1930-1940', 'United States--Illinois']",Illinois,https://tile.loc.gov/storage-services/service/pnp/cph/3f00000/3f05000/3f05100/3f05191v.jpg#h=1024&w=711
Item,2024-12-16,./collection-2/item_metadata\im_cph.3b48731.json,93505613,See America / Frank S. Nicholson.,[between 1936 and 1939],https://www.loc.gov/item/93505613/,still image,eng,No known restrictions on publication.,No known restrictions on publication.,"Poster for the United States Travel Bureau promoting tourism, showing two cowboys on horseback by stream near desert rock formation.","['Nicholson, Frank S., artist']","['Tourism--1930-1940', 'Cowboys--1930-1940', 'Rock formations--1930-1940']",Not found,https://tile.loc.gov/storage-services/service/pnp/cph/3b40000/3b48000/3b48700/3b48731r.jpg#h=640&w=499
Item,2024-12-16,./collection-2/item_metadata\im_cph.3b48733.json,98518589,See America. Visit the national parks,between 1936 and 1940],https://www.loc.gov/item/98518589/,still image,eng,No known restrictions on publication.,No known restrictions on publication.,"Poster for United States Travel Bureau promoting travel to national parks, showing a waterfall.","['Herzog, Harry, artist', 'Federal Art Project, sponsor']","['National parks & reserves--1930-1940', 'Waterfalls--1930-1940', 'Tourism--1930-1940']",Not found,https://tile.loc.gov/storage-services/service/pnp/cph/3b40000/3b48000/3b48700/3b48733v.jpg#h=1024&w=707
Item,2024-12-16,./collection-2/item_metadata\im_cph.3b48750.json,98518516,See America. Welcome to Montana / Rothstein.,[between 1936 and 1938],https://www.loc.gov/item/98518516/,still image,eng,No known restrictions on publication.,No known restrictions on publication.,"Poster for United States Travel Bureau promoting travel to Montana, showing Indian encampment next to lake.","['Rothstein, Jerome Henry, 1918-, artist']","['Tourism--Montana--1930-1940', 'Tipis--Montana--1930-1940', 'Montana--1930-1940']",Montana,https://tile.loc.gov/storage-services/service/pnp/cph/3b40000/3b48000/3b48700/3b48750v.jpg#h=1024&w=719
Item,2024-12-16,./collection-2/item_metadata\im_cph.3b48860.json,96525136,"When attending the World's Fair, visit beautiful Sea Cliff 250 ft. altitude : No mosquitos.",[1938 or 1939],https://www.loc.gov/item/96525136/,still image,eng,No known restrictions on publication.,No known restrictions on publication.,"Poster promoting Sea Cliff, Long Island for tourism, showing seacoast with cliffs, road, and New York World's Fair buildings.",Not found,"[""New York World's Fair--(1939-1940 :--New York, N.Y.)--Buildings"", 'Exhibition buildings--New York (State)--New York--1930-1940', 'Waterfronts--New York (State)--Sea Cliff--1930-1940', 'Tourism--New York (State)--Sea Cliff--1930-1940']",New York (State)--New York,https://tile.loc.gov/storage-services/service/pnp/cph/3g00000/3g05000/3g05000/3g05062v.jpg#h=1024&w=813
Item,2024-12-16,./collection-2/item_metadata\im_cph.3b48864.json,98516742,"A guide to the golden state from the past to the present California history and culture, tours and trails, recreational facilities : American guide series / / B. Sheer.",[between 1936 and 1941],https://www.loc.gov/item/98516742/,still image,eng,No known restrictions on publication.,No known restrictions on publication.,"Poster for Federal Writers' Project of California advertising ""American Guide Series"" volume on California, showing hourglass.","['Sheer, Benjamin, artist', ""Federal Writers' Project of the Works Progress Administration of Northern California, sponsor""]","['American guide series', 'Tourism--California--1930-1950', 'Books--1930-1950', 'United States--California']",California,https://tile.loc.gov/storage-services/service/pnp/cph/3b40000/3b48000/3b48800/3b48864r.jpg#h=498&w=640
Item,2024-12-16,./collection-2/item_metadata\im_cph.3b49082.json,98518752,Visit Pennsylvania Where pre-revolutionary costumes still survive / / Katherine Milhous.,[between 1936 and 1940],https://www.loc.gov/item/98518752/,still image,eng,No known restrictions on publication.,No known restrictions on publication.,"Poster promoting Pennsylvania, showing head-and-shoulders portrait of a woman in eighteenth-century costume against a background of fraktur.","['Milhous, Katherine, 1894-1977, artist']","['Pennsylvania Dutch--1930-1940', 'Tourism--Pennsylvania--1930-1940', 'Women--Clothing & dress--Pennsylvania--1930-1940', 'Frakturs (Illumination)--1930-1940', 'Pennsylvania--1930-1940']",Pennsylvania,https://tile.loc.gov/storage-services/service/pnp/cph/3b40000/3b49000/3b49000/3b49082r.jpg#h=640&w=515
Item,2024-12-16,./collection-2/item_metadata\im_cph.3b51486.json,98518753,Rural Pennsylvania / Katherine Milhous.,[between 1936 and 1940],https://www.loc.gov/item/98518753/,still image,eng,No known restrictions on publication.,No known restrictions on publication.,"Poster promoting Pennsylvania, showing children from a religious community.","['Milhous, Katherine, 1894-1977, artist']","['Pennsylvania Dutch--1930-1940', 'Tourism--Pennsylvania--1930-1940', 'Children--Clothing & dress--Pennsylvania--1930-1940', 'Pennsylvania--1930-1940']",Pennsylvania,https://tile.loc.gov/storage-services/service/pnp/cph/3b50000/3b51000/3b51400/3b51486v.jpg#h=1024&w=739
Item,2024-12-16,./collection-2/item_metadata\im_cph.3f05643.json,98518608,Discover Puerto Rico U.S.A. Where the Americas meet / / Frank S. Nicholson.,[between 1936 and 1940],https://www.loc.gov/item/98518608/,still image,eng,No known restrictions on publication.,No known restrictions on publication.,"Poster promoting Puerto Rico for tourism, showing view of harbor from Morro Castle.","['Nicholson, Frank S., artist', 'Federal Art Project, sponsor']","['Tourism--1930-1940', 'Waterfronts--Puerto Rico--1930-1940', 'Puerto Rico--1930-1940']",Puerto Rico,https://tile.loc.gov/storage-services/service/pnp/cph/3f00000/3f05000/3f05600/3f05643v.jpg#h=1024&w=692
Item,2024-12-16,./collection-2/item_metadata\im_cph.3g02947.json,94504463,"West Point, United States Military Academy, in the highlands of the Hudson. New York Central Lines / Frank Hazell.",[192-],https://www.loc.gov/item/94504463/,still image,Not found,No known restrictions on publication. Published without copyright notice.,No known restrictions on publication. Published without copyright notice.,"West Point Military Academy, seen from across the Hudson River.","['Hazell, Frank, 1883-, artist']",['United States Military Academy--Buildings--1920-1930'],Not found,https://tile.loc.gov/storage-services/service/pnp/ds/14000/14053v.jpg#h=1024&w=685
Item,2024-12-16,./collection-2/item_metadata\im_cph.3g04243.json,96503125,See America / Dux.,[between 1936 and 1939],https://www.loc.gov/item/96503125/,still image,eng,No known restrictions on publication.,No known restrictions on publication.,"Poster for the United States Travel Bureau promoting tourism, showing two people in caverns.","['Dux, Alexander, artist']","['Caves--1930-1940', 'Tourism--1930-1940']",Not found,https://tile.loc.gov/storage-services/service/pnp/cph/3g00000/3g04000/3g04200/3g04243v.jpg#h=1024&w=829
Item,2024-12-16,./collection-2/item_metadata\im_cph.3g05158.json,97502889,"Buckingham Fountain on Chicago's lake front, world's largest and most beautiful illuminated fountain ... / Buczak.",[1939],https://www.loc.gov/item/97502889/,still image,Not found,No known restrictions on publication.,No known restrictions on publication.,Poster showing fountain and Chicago skyline.,"['Buczak, John, artist']",['Fountains--Illinois--Chicago--1930-1940'],Illinois--Chicago,https://tile.loc.gov/storage-services/service/pnp/cph/3g00000/3g05000/3g05100/3g05158v.jpg#h=1024&w=806
